mrbtsId,lnBtsId,lnCelId,lnRelId,handoverAllowed,removeAllowed
1022,51022,40226,377,1,0
1162,51162,21626,366,1,0
1162,51162,21629,378,1,0
143,50143,41436,340,1,0
143,50143,41437,337,1,0
1467,51467,44676,289,1,0
149,50149,40497,371,1,0
149,50149,40498,339,1,0
1503,51503,45036,347,1,0
1503,51503,45037,345,1,0
1503,51503,45037,374,1,0
1503,51503,45038,335,1,0
1503,51503,45038,342,1,0
2302,52302,23021,378,1,0
2302,52302,23024,366,1,0
2302,52302,43021,263,1,0
2302,52302,43021,264,1,0
2302,52302,43021,285,1,0
2302,52302,43021,293,1,0
2302,52302,43021,311,1,0
2302,52302,43021,322,1,0
2302,52302,43021,339,1,0
2302,52302,43021,355,1,0
2302,52302,43021,365,1,0
2302,52302,43021,367,1,0
2302,52302,43021,375,1,0
2302,52302,43021,380,1,0
2302,52302,43023,132,1,0
2302,52302,43023,153,1,0
2302,52302,43023,233,1,0
2302,52302,43023,327,1,0
2302,52302,43026,295,1,0
2302,52302,43026,321,1,0
2302,52302,43026,335,1,0
2302,52302,43026,337,1,0
2302,52302,43026,346,1,0
2302,52302,43026,372,1,0
2302,52302,43028,228,1,0
2302,52302,43028,307,1,0
2302,52302,43028,352,1,0
2312,52312,43127,323,1,0
2365,52365,43656,324,1,0
2365,52365,43656,362,1,0
2365,52365,43657,329,1,0
2965,52965,49659,360,1,0
2966,52966,49666,333,1,0
2966,52966,49667,354,1,0
412,50412,4124,300,1,0
412,50412,4124,301,1,0
474,50474,44747,304,1,0
474,50474,44747,308,1,0
474,50474,44749,321,1,0
477,50477,44771,293,1,0
477,50477,44771,298,1,0
477,50477,44771,331,1,0
477,50477,44771,339,1,0
477,50477,44771,361,1,0
477,50477,44776,279,1,0
477,50477,44776,306,1,0
477,50477,44776,356,1,0
5070,55070,40707,332,1,0
5077,55077,40779,375,1,0
5259,55259,42598,347,1,0
5262,55262,42623,341,1,0
5262,55262,42626,379,1,0
5262,55262,42627,368,1,0
5262,55262,42627,376,1,0
5262,55262,42627,386,1,0
5262,55262,42628,351,1,0
5262,55262,42628,382,1,0
5334,55334,43346,342,1,0
5334,55334,43346,357,1,0
5334,55334,43346,368,1,0
5428,55428,44281,341,1,0
5428,55428,44283,343,1,0
788,50788,7881,239,1,0
788,50788,7881,352,1,0
799,50799,7994,358,1,0
799,50799,47998,356,1,0
799,50799,47998,377,1,0
